index,published,keyword,domain,language,valid,title,description,url,image,archive,content,quote
f055da4f089cb1e47498a6f4bd947553,2025-10-07T10:45:00Z,'dry soil',www.scientificamerican.com,en,0.0,South Africa’s Coast Is Rising—And Scientists Have a New Explanation Why,"Human water management contributes to sinking land across the globe, and it may also be responsible for an unexpected rise",https://www.scientificamerican.com/article/south-africas-coast-is-rising-and-scientists-have-a-new-explanation-why/,https://static.scientificamerican.com/dam/m/3484c155c01c665e/original/saw1125Adva01.jpg?m=1759773290.456&w=1200,http://web.archive.org/web/20251008003831/https://www.scientificamerican.com/article/south-africas-coast-is-rising-and-scientists-have-a-new-explanation-why/,For decades geologists thought the slow rise of South Africa’s southern coast was driven by forces deep below—buoyant plumes of molten rock ascending through Earth’s mantle and heaving the crust upwa… [+6144 chars],
099a30bb5999a5548a0afd4311a88285,2025-10-09T09:00:00Z,'water management',www.npr.org,en,0.1,"Trump's use of National Guard strays from role as 'minutemen,' military experts say",Military experts say they also worry how these new deployments will affect recruitment and public trust.,https://www.npr.org/2025/10/09/nx-s1-5561991/national-guard-trump-washington-chicago-memphis-oregon,https://npr.brightspotcdn.com/dims3/default/strip/false/crop/5823x3275+0+303/resize/1400/quality/100/format/jpeg/?url=http%3A%2F%2Fnpr-brightspot.s3.amazonaws.com%2F8d%2F15%2F0cb992024cd7a7a46ed5b22e7643%2Fgettyimages-2238126300.jpg,http://web.archive.org/web/20251010020934/https://www.npr.org/2025/10/09/nx-s1-5561991/national-guard-trump-washington-chicago-memphis-oregon,"Pruning trees, collecting trash, patrolling neighborhoods. These are some of the ways the National Guard has been deployed in recent weeks.
In his second term, President Trump has increasingly sough… [+4433 chars]",
5adc9c2d648213f8f027d5d25a7dc5b2,2025-10-09T12:01:18Z,'water management',www.makeuseof.com,en,0.1,Killing the headphone jack made phones better,All thanks to Apple's bold move.,https://www.makeuseof.com/killing-the-headphone-jack-made-phones-better/,https://static0.makeuseofimages.com/wordpress/wp-content/uploads/2022/10/B20-Headphone-Jack.jpg?w=1600&h=900&fit=crop,http://web.archive.org/web/20251009194511/https://www.makeuseof.com/killing-the-headphone-jack-made-phones-better/,"Smartphones have evolved from thick slabs with plenty of bezels surrounding a tiny screen in the early 2010s to sleeker, lighter slabs with more screen than bezel to hold. They've changed dramaticall… [+4905 chars]",
006f4fa71d52b1be2b30e2783f4fb53a,2025-10-09T15:45:49Z,'water management',3dpaws.comet.ucar.edu,en,0.1,3D-Printed Automatic Weather Station,Introduction to the online 3D-PAWS manual,https://3dpaws.comet.ucar.edu,https://3dpaws.comet.ucar.edu/~gitbook/ogimage/hbyfVVes56XRzOo99wCq,http://web.archive.org/web/20250222023853/https://3dpaws.comet.ucar.edu/,"3D-PAWS (3D-Printed Automatic Weather Station) is an international initiative that enables the local construction of reliable, low-cost weather stations using 3D printing and commercially available s… [+4838 chars]",
e7cd52857ff4e26477896f284818efbb,2025-10-09T15:56:47Z,'water management',binaryigor.com,en,0.1,Programmer in Wonderland,"There are hundreds and thousands of tools and frameworks out there, often solving the same problems or struggling to explain what the problem they are trying to solve is ... Because of this diversity and how powerful some of these tools are, it often feels li…",https://binaryigor.com/programmer-in-wonderland.html,,http://web.archive.org/web/20251009180204/https://binaryigor.com/programmer-in-wonderland.html,"The Wonderland of Software
The ecosystem of software engineering is vast and it seems to be ever-growing, although recently at a slower pace. There are hundreds and thousands of tools and frameworks… [+9095 chars]",
7b9d6992d6234186832911dcf3891a5b,2025-10-09T22:43:05Z,'water management',www.lifehack.org,en,0.1,Why Do I Have No Energy? The Science-Backed Energy Management Framework for Overwhelmed High-Achievers,"Discover why you have no energy and learn the science-backed COM-B framework for energy management. Practical strategies for high-achievers to reclaim vitality.
The post Why Do I Have No Energy? The Science-Backed Energy Management Framework for Overwhelmed H…",https://www.lifehack.org/991240/why-do-i-have-no-energy,https://cdn.lifehack.org/wp-content/uploads/2025/10/stressed-professional-energy-management.jpeg-1.jpg,http://web.archive.org/web/20251012004217/https://www.lifehack.org/991240/why-do-i-have-no-energy,"Introduction
 It’s 3 PM on a Tuesday. You’ve crushed three back-to-back meetings, cleared 47 emails from your inbox, and somehow still have half your to-do list glaring at you from your second monit… [+45746 chars]",
7a2d43a881dd572492c74f0565f12baf,2025-10-10T08:00:00Z,'drought weather',www.cbc.ca,en,1.0,"As drought conditions persist, some wells running dry in rural Ottawa","As dry weather persists this fall, some residents living in rural Ottawa say the private wells they rely on for water are running empty.",https://www.cbc.ca/news/canada/ottawa/private-wells-running-empty-rural-ottawa-9.6932225,"https://i.cbc.ca/ais/5f3427c6-6712-4d1a-a0e4-690569f737e6,1760044325970/full/max/0/default.jpg?im=Crop%2Crect%3D%280%2C211%2C4240%2C2385%29%3BResize%3D620",http://web.archive.org/web/20251010111030/https://www.cbc.ca/news/canada/ottawa/private-wells-running-empty-rural-ottawa-9.6932225,"As dry weather persists this fall, some residents living in rural Ottawa say the private wells they rely on for water are running empty.
In Kinburn, a community in rural west Ottawa, Tammy Johnstone… [+4081 chars]",
c0ea22a6b73df8c0301ffc396c41b7e9,2025-10-10T13:00:00Z,'water management',www.sacbee.com,en,0.1,"Mold, dead mouse and 130 rodent droppings at Sacramento-area coffee shop",Sacramento County health inspectors closed a grocery store and four restaurants for food safety violations.,https://www.sacbee.com/news/local/article312446674.html,https://media.zenfs.com/en/sacramento_bee_mcclatchy_569/a6817de80e44370df704d7473d9f3174,,"Sacramento County health inspectors closed two local coffee shops after discovering a dead mouse, rodent droppings and cockroaches.
Health inspectors shut down a grocery store and two other restaura… [+14829 chars]",
2519680c5e5fdc721a7cfa8ee1a37b60,2025-10-10T13:59:12Z,'water management',reasonstobecheerful.world,en,0.1,The Prairie Farmers Preserving the Most Threatened Ecosystem – Forever,"These cattle ranchers are denying developers the chance to make a quick buck, instead safeguarding grasslands for the long-term.",https://reasonstobecheerful.world/prairie-farmers-preserve-most-threatened-ecosystem-forever/,https://reasonstobecheerful.world/wp-content/uploads/2025/09/shutterstock_2123111300-scaled.jpg,http://web.archive.org/web/20251010153048/https://reasonstobecheerful.world/prairie-farmers-preserve-most-threatened-ecosystem-forever/,"Dallas May spotted the first shoots of grass a few months after a wildfire tore across the ranch he runs with his family in Lamar, Colorado, in 2022. Propelled by winds up to 70 mph, the blaze killed… [+9268 chars]",
6b6534b36c7cf6aab6e9a9acfac50447,2025-10-10T14:11:15Z,'water management',www.governance.fyi,en,0.1,All-Natural Geoengineering with Frank Herbert's Dune,Can We Terraform the Earth Using Life Itself?,https://www.governance.fyi/p/all-natural-geoengineering-with-frank,"https://substackcdn.com/image/fetch/$s_!Vk_n!,w_1200,h_600,c_fill,f_jpg,q_auto:good,fl_progressive:steep,g_auto/https%3A%2F%2Fsubstack-post-media.s3.amazonaws.com%2Fpublic%2Fimages%2Fd7f46c83-52b1-40d1-bffa-4de6aae9a283_1818x1023.jpeg",http://web.archive.org/web/20251010182839/https://www.governance.fyi/p/all-natural-geoengineering-with-frank,Science fiction understood something fundamental before science caught up. Frank Herberts Dune imagined the Fremen attempting to terraform Arrakis. They succeeded technically but discovered too late … [+47551 chars],
8d0f5c588458ed28980de97fd38522c4,2025-10-10T15:20:57Z,'water management',www.yankodesign.com,en,0.1,7 Smart Home Tech Gadgets Making Your House Think for You This October 2025,"7 Smart Home Tech Gadgets Making Your House Think for You This October 2025The smart home revolution has reached a thrilling crescendo this October, with technology finally catching up to our most ambitious visions of connected living. Gone...",https://www.yankodesign.com/2025/10/10/7-smart-home-tech-gadgets-making-your-house-think-for-you-this-october-2025/,https://www.yankodesign.com/images/design_news/2025/10/7-smart-home-tech-gadgets-making-your-house-think-for-you-this-october-2025/7_smart_home_tech_gadgets_yanko_design_hero.jpg,,"The smart home revolution has reached a thrilling crescendo this October, with technology finally catching up to our most ambitious visions of connected living. Gone are the days when smart devices f… [+13975 chars]",
c510b5540fd56a800f4281e652531f4b,2025-10-10T19:15:20Z,'water management',www.yankodesign.com,en,0.1,Apple Had 7 CEOs: Only 2 Really Mattered (And One Nearly Killed It),"Apple Had 7 CEOs: Only 2 Really Mattered (And One Nearly Killed It)Recent speculation about Tim Cook’s potential departure from Apple has reached a crescendo, fueled not only by his approaching 65th birthday next month but also...",https://www.yankodesign.com/2025/10/10/apple-had-7-ceos-only-2-really-mattered-and-one-nearly-killed-it/,https://www.yankodesign.com/images/design_news/2025/10/a-history-of-every-apple-ceo-and-how-they-revolutionized-the-company/history_of_every_apple_ceo_1.jpeg,http://web.archive.org/web/20251011010010/https://www.yankodesign.com/2025/10/10/apple-had-7-ceos-only-2-really-mattered-and-one-nearly-killed-it/,"Recent speculation about Tim Cook’s potential departure from Apple has reached a crescendo, fueled not only by his approaching 65th birthday next month but also by broader questions about his leaders… [+16503 chars]",
560a98ef49f823c6504e9e2b1d96357a,2025-10-10T21:41:33Z,'drought Iran',www.firstshowing.net,en,0.1,Fascinating Doc Film 'Pistachio Wars' Trailer About California's Water,"""Why does no one talk about it?"" Watermelon Pics is releasing this fascinating, upsetting new documentary film titled Pistachio Wars, a remarkable true story about the billionaires behind the California pistachio farms. Made by investigative journalists who s…",https://www.firstshowing.net/2025/fascinating-doc-film-pistachio-wars-trailer-about-californias-water/,https://media2.firstshowing.net/firstshowing/img17/pistachiowarsdocpostermainTW2.jpg,http://web.archive.org/web/20251011022333/https://www.firstshowing.net/2025/fascinating-doc-film-pistachio-wars-trailer-about-californias-water/,"by Alex BillingtonOctober 10, 2025Source:YouTube
""Why does no one talk about it?"" Watermelon Pics is releasing this fascinating, upsetting new documentary film titled Pistachio Wars, a remarkable tr… [+2683 chars]",
b2398d1a8a40471c1f08f4ed6a1ce26f,2025-10-11T13:14:03Z,'water management',www.cnet.com,en,0.1,"What's Coming to Disney World and Disneyland? New Rides, Lands and Attractions in 2025","The Tron: Ares overlay has arrived at Disney World, and Halloween celebrations are in full swing.",https://www.cnet.com/tech/services-and-software/whats-coming-to-disney-world-and-disneyland-new-rides-lands-and-attractions-in-2025/,https://www.cnet.com/a/img/resize/360bbf456849f2c442b26cf4dcf49919a5ebdd7b/hub/2025/10/10/df7c6eeb-d5bf-4c7c-ac5b-60ac13099b02/screenshot-2025-10-10-at-11-50-21am.png?auto=webp&fit=crop&height=675&width=1200,http://web.archive.org/web/20251011135249/https://www.cnet.com/tech/services-and-software/whats-coming-to-disney-world-and-disneyland-new-rides-lands-and-attractions-in-2025/,"As Walt Disney once predicted, Disneyland will ""never be completed"" as long as there is imagination in the world. Both Disney theme parks in the US are continuing to grow, with new rides, experiences… [+19453 chars]",
d7827c29e559a949a6b949391b566191,2025-10-12T16:59:16Z,'water management',6abc.com,en,0.1,"New Jersey braces for coastal storm expected to bring strong winds, flooding","A coastal storm churned its way up the East Coast on Sunday, with New Jersey declaring a state of emergency and some airports posting delays and...",https://6abc.com/post/new-jersey-braces-coastal-storm-expected-bring-strong-winds-flooding/17991479/,https://s.yimg.com/ny/api/res/1.2/FGc4ob.OjqTx9CgfSSFlOQ--/YXBwaWQ9aGlnaGxhbmRlcjt3PTEyMDA7aD02NzU7Y2Y9d2VicA--/https://media.zenfs.com/en/wpvi_articles_441/b20c8fa852e16245298b8c5bd82da0cd,,"A coastal storm churned its way up the East Coast on Sunday, with New Jersey declaring a state of emergency and some airports posting delays and cancellations in advance of anticipated coastal floodi… [+1785 chars]",
348b504785cf6ce4f1be8dca74855af2,2025-10-13T10:09:12Z,'drought weather',theconversation.com,en,0.1,The disasters we talk about shape our priorities and determine our preparedness,"From drought to soil degradation and environmental pollution, why does society overlook the most impactful disasters?",https://theconversation.com/the-disasters-we-talk-about-shape-our-priorities-and-determine-our-preparedness-266200,https://images.theconversation.com/files/695771/original/file-20251012-56-gci946.jpg?ixlib=rb-4.1.0&rect=0%2C681%2C5760%2C2880&q=45&auto=format&w=1356&h=668&fit=crop,http://web.archive.org/web/20251108123902/https://theconversation.com/the-disasters-we-talk-about-shape-our-priorities-and-determine-our-preparedness-266200,"In December 1989, the United Nations declared Oct. 13 International Day for Disaster Risk Reduction. At the time, the aim was to make disaster-risk reduction part of everyday thinking worldwide. 

To… [+7043 chars]",
342c847da5c56513eda2c8aa044f81f5,2025-10-13T14:00:00Z,'drought Iran',journals.plos.org,en,0.1,"Climatic, socioeconomic, and migratory factors on the epidemiological dynamics of cutaneous leishmaniasis in Colombia, 2007–2021","Author summary Cutaneous leishmaniasis (CL) remains one of the most important tropical diseases worldwide, according to the World Health Organization. By using mathematical models, researchers can better understand how this disease behaves and identify the mo…",https://journals.plos.org/plosntds/article?id=10.1371/journal.pntd.0013594,https://journals.plos.org/plosntds/article/figure/image?id=10.1371/journal.pntd.0013594.g002&size=inline,,"Abstract
The World Health Organization considers cutaneous leishmaniasis (CL) to be one of the most important neglected tropical diseases (NTDs). The application of geostatistical models, in conjunc… [+42094 chars]",
8ff312842c6e4574bacf6d4b464c3d63,2025-10-13T14:57:05Z,'drought weather',phys.org,en,0.1,The disasters we talk about shape our priorities and determine our preparedness,"In December 1989, the United Nations declared Oct. 13 International Day for Disaster Risk Reduction. At the time, the aim was to make disaster-risk reduction part of everyday thinking worldwide.",https://phys.org/news/2025-10-disasters-priorities-preparedness.html,https://scx2.b-cdn.net/gfx/news/hires/2025/dry-land.jpg,,"In December 1989, the United Nations declared Oct. 13 International Day for Disaster Risk Reduction. At the time, the aim was to make disaster-risk reduction part of everyday thinking worldwide.
Tod… [+7607 chars]",
f5878d1f9b9965c2d4579d514645099d,2025-10-13T17:20:52Z,'water management',www.yankodesign.com,en,0.1,"Realme 15 Pro Game of Thrones Limited Edition review: Black to Red Leather, Gold Dragons, and only 5,000 Made","Realme 15 Pro Game of Thrones Limited Edition review: Black to Red Leather, Gold Dragons, and only 5,000 MadeThe Realme 15 Pro Game of Thrones Limited Edition stands as a bold reimagining of the standard 15 Pro, designed for those who want their...",https://www.yankodesign.com/2025/10/13/realme-15-pro-game-of-thrones-limited-edition-review-black-to-red-leather-gold-dragons-and-only-5000-made/,https://www.yankodesign.com/images/design_news/2025/10/realme-15-pro-game-of-thrones-limited-edition-review-black-to-red-leather-gold-dragons-and-only-5000-made/realme-15-pro-got-limited-edition-review-01.jpg,,"PROS:
<ul><li>Striking Game of Thrones-themed design</li><li>Immersive collectors unboxing experience</li><li>Large 7000mAh battery</li></ul>
CONS:
<ul><li>Considerably higher price than the stand… [+12116 chars]",
cdbe1c479e60ce4a41bc09aefe33ceaf,2025-10-13T20:54:25Z,'water management',tedium.co,en,0.1,"Thoughts on Omarchy: Slick Distro, Complicated Ethics",The rising Linux distro Omarchy smooths out Hyprland’s rough edges—but it also carries a controversial sheen that some won’t be able to ignore.,https://tedium.co/2025/10/13/omarchy-linux-distro-commentary/,https://v1.screenshot.11ty.dev/https%3A%2F%2Ftedium.co%2Fog-images%2F2025%2F10%2F13%2Fomarchy-linux-distro-commentary%2F/opengraph/?v=1760395849,,"As a Linux user, Im a relative normie. I actually like GNOME. I have sidestepped the vim vs. emacs debate by preferring nano, and I run Bazzite these days because, while sold as a gaming OS, it is al… [+11210 chars]",
57ebc967b63aeda44aebfc1d7bb30791,2025-10-14T00:00:00Z,'water management',www.nature.com,en,0.1,Inside our university’s mission to pivot to research,"Innovation is key to meeting today’s global challenges. This is why the University of Botswana, originally a teaching institution, is now fostering research, and others should take the leap.",https://www.nature.com/articles/d41586-025-03301-3,https://media.nature.com/lw1200/magazine-assets/d41586-025-03301-3/d41586-025-03301-3_51438292.jpg,,"The global challenges of today, from climate-fuelled floods, droughts and heatwaves to food insecurity and health disparities, are felt intensely in Africa. To tackle those, universities on the conti… [+2441 chars]",
20b3c23e6a2be2fcf9fab91c10ff0a7a,2025-10-14T04:00:00Z,'water management',www.yahoo.com,en,0.1,Officials issue recall after detecting alarming substance in beef product: 'Consumers should not eat this product',"""Any consumers concerned about their health should seek medical advice.""",https://www.yahoo.com/news/articles/officials-issue-recall-detecting-alarming-040000792.html,https://s.yimg.com/ny/api/res/1.2/H4_E4nC5gmDAAyjylMNC1g--/YXBwaWQ9aGlnaGxhbmRlcjt3PTEyMDA7aD02Nzg7Y2Y9d2VicA--/https://media.zenfs.com/en/the_cool_down_737/45797abffb7414729db83ecae1d6b393,,"Health officials in Australia have issued a recall for a popular organic beef product that may become a health hazard.
What's happening?
On Sept. 23, Food Standards Australia and New Zealand issued… [+2693 chars]",
c1d0c1447f905caca2c5d7fb0fd68df6,2025-10-14T11:54:29Z,'drought climate change',fortune.com,en,0.0,"‘The color is just not going to be there this year for some hillsides’: Autumn leaf peeping pegged back by drought, climate change","Brad Rippey, USDA meteorologist and author of the drought monitor, says the the Northeast and western U.S. have been hit especially hard.",https://fortune.com/2025/10/14/how-bad-new-england-colorado-foliage-drought-leaf-peeping-season/,"https://fortune.com/img-assets/wp-content/uploads/2025/10/AP25286457085341-e1760442708750.jpg?resize=1200,600",,"Leaf-peeping season has arrived in the Northeast and beyond, but weeks of drought have muted this years autumn colors, and sent leaves fluttering to the ground earlier than usual.Soaking in the fall … [+4424 chars]",
e1208f472ed3bd03c84d3a980e6271f9,2025-10-14T14:00:00Z,'drought Iran',journals.plos.org,en,0.1,A systematic review and meta-analysis of incidence and spatiotemporal trends of snakebites in Iran,"Author summary  Why was this study done? Snakebites are a serious but often overlooked health problem, especially in countries like Iran. However, getting a clear picture of how many people are bitten and where it happens most has been difficult due to incons…",https://journals.plos.org/plosntds/article?id=10.1371/journal.pntd.0013603,https://journals.plos.org/plosntds/article/figure/image?id=10.1371/journal.pntd.0013603.g006&size=inline,,"Abstract
Background and purpose
Snakebites are a neglected public health concern, particularly in tropical regions, causing significant morbidity and mortality. Despite Irans high snakebite burden,… [+34067 chars]",
f0dac8920ff85d02ec6903d33473fb3a,2025-10-14T17:12:24Z,'drought Iran',www.israelnationalnews.com,en,0.1,"Will the Gaza crazies beat swords into ploughshares 
and spears into pruning hooks?","The self-destruct gene of the Palestinian Arabs in general and Hamas in particular may come into play next, as Jew-hatred makes them  cut off their nose to spite their face. Opinion.",https://www.israelnationalnews.com/news/416257,https://2.a7.org/files/pictures/000/1200959.jpg,,"Reckoning the odds stacked against it, Hamas declared the war in Gaza over. A comparable event would be Hitler declaring a pause in the Holocaust in order to stave off defeat. 
BLESSED ARE THE PEACE… [+7897 chars]",
4f9304173aacec7c9b9d1e64cd2fe4a2,2025-10-14T18:02:00Z,'drought Iran',onefootball.com,en,0.1," South Africa end drought, Nigeria head to play-offs","South Africa is back. Absent from a World Cup since hosting in 2010, Bafana Bafana qualified for the 2026 tournament this Tuesday (14).The final matchday of Group C in African qualifying also featured...",https://onefootball.com/en/news/south-africa-end-drought-nigeria-head-to-play-offs-41805184,https://photobooth-api.onefootball.com/api/screenshot/%2Fv2%2Fphotobooth%2Fcms%2Fen%2F41805184%3Fdate=2025-10-14,,"South Africa is back.
Absent from a World Cup since hosting in 2010, the Bafana Bafana qualified for the 2026 World Cup this Tuesday (14).
The final round of Group C in the African Qualifiers also … [+4659 chars]",
e3149ec7d8869ece201cf84b0f89b632,2025-10-14T20:50:50Z,'water management',waxbanks.wordpress.com,en,0.1,Bare Metal (The Emacs Essay),"The following submission to Jeremy Friesen’s ‘elevator pitch’-themed Emacs blog carnival is taken from my rather long manuscript in progress (‘the present work’), tent…",https://waxbanks.wordpress.com/2025/08/01/bare-metal-the-emacs-essay/,https://waxbanks.wordpress.com/wp-content/uploads/2025/08/emacs-screenshot.png,,"The following submission to Jeremy Friesen’s ‘elevator pitch’-themed Emacs blog carnival is taken from my rather long manuscript in progress (‘the present work’), tentatively titled Voluptuous Panic!… [+59889 chars]",
81de11c3a1159d160aa7f6ea67cbbc93,2025-10-14T22:25:13Z,'drought weather',www.abc.net.au,en,0.0,Farmers 'on a knife edge' as forecast rain fails to appear,Some Victorian farmers are cutting crops for hay as the drought continues to bite in the nation's south-east.,https://www.abc.net.au/news/2025-10-15/farmers-cutting-crops-for-hay-as-decent-spring-rain-doesnt-come/105884166,https://live-production.wcms.abc-cdn.net.au/7c847dc3c83e9f4c4263b144ecbe76f4?impolicy=wcms_watermark_news&cropH=1701&cropW=3024&xPos=0&yPos=1166&width=862&height=485&imformat=generic,,"Victorian farmers are cutting their crops for hay as the drought continues to bite across south-east Australia.
It's been a terribly dry spring so far in many places, defying the long-term weather f… [+3408 chars]",
