,phrase,label,sentiment,subjectivity,language,count,geonames,geotype,latitude,longitude,country,ipcc
Iran,Iran,GPE,-0.059457179554162326,0.42492163009404393,en,58,-1,,,,,
Tehran,Tehran,GPE,-0.1574971792392005,0.5056536105738235,en,47,-1,,,,,
U.S.,U.S.,GPE,0.059664830119375574,0.3566058310376492,en,22,-1,,,,,
Afghanistan,Afghanistan,GPE,-0.04614035087719299,0.16464912280701752,en,19,-1,,,,,
California,California,GPE,0.08418560606060606,0.32402146464646464,en,12,-1,,,,,
Iraq,Iraq,GPE,-0.010606060606060605,0.3348484848484849,en,11,-1,,,,,
Colorado,Colorado,GPE,0.07493686868686869,0.19141919191919193,en,10,-1,,,,,
India,India,GPE,0.200719696969697,0.3998295454545454,en,10,-1,,,,,
US,US,GPE,0.14709595959595959,0.3546717171717172,en,9,-1,,,,,
Brazil,Brazil,GPE,0.1308641975308642,0.26820987654320994,en,9,-1,,,,,
the Middle East,the Middle East,LOC,-0.03055555555555555,0.2921875,en,8,-1,,,,,
Nepal,Nepal,GPE,0.290625,0.23333333333333334,en,8,-1,,,,,
Earth,Earth,LOC,0.19339015151515151,0.5878977272727273,en,8,-1,,,,,
Gaza,Gaza,GPE,0.03571428571428571,0.044642857142857144,en,7,-1,,,,,
Europe,Europe,LOC,0.03939393939393939,0.18640572390572394,en,6,-1,,,,,
Canada,Canada,GPE,0.024848484848484845,0.14393939393939395,en,6,-1,,,,,
Mexico,Mexico,GPE,0.08333333333333333,0.5820000000000001,en,5,-1,,,,,
UK,UK,GPE,0.06000000000000001,0.37777777777777777,en,5,-1,,,,,
Virginia,Virginia,GPE,-0.11000000000000001,0.16999999999999998,en,5,-1,,,,,
Texas,Texas,GPE,0.04,0.3333333333333333,en,5,-1,,,,,
South Africa,South Africa,GPE,0.0,0.06666666666666667,en,5,-1,,,,,
Ottawa,Ottawa,GPE,-0.029999999999999992,0.2341666666666667,en,5,-1,,,,,
TORONTO,TORONTO,GPE,0.1375,0.24000000000000005,en,5,-1,,,,,
Australia,Australia,GPE,0.10666666666666666,0.79,en,5,-1,,,,,
Israel,Israel,GPE,0.013333333333333336,0.10716666666666667,en,5,-1,,,,,
Jammu,Jammu,GPE,0.20214285714285712,0.36690476190476196,en,5,-1,,,,,
Delhi,Delhi,GPE,-0.06333333333333332,0.5933333333333334,en,5,-1,,,,,
Florida,Florida,GPE,0.07909722222222224,0.5081944444444444,en,5,-1,,,,,
Queensland,Queensland,GPE,0.14999999999999997,0.3958333333333333,en,4,-1,,,,,
Argentina,Argentina,GPE,0.18819444444444444,0.3055555555555555,en,4,-1,,,,,
the United States,the United States,GPE,0.002083333333333333,0.25104166666666666,en,4,-1,,,,,
TAMPA,TAMPA,GPE,0.171875,0.28437500000000004,en,4,-1,,,,,
China,China,GPE,0.0875,0.13125,en,4,-1,,,,,
Indonesia,Indonesia,GPE,-0.02395833333333333,0.184375,en,4,-1,,,,,
New York City,New York City,GPE,0.0634090909090909,0.4638636363636363,en,4,-1,,,,,
Caribbean,Caribbean,LOC,-0.2,0.21250000000000002,en,4,-1,,,,,
Iowa,Iowa,GPE,-0.04166666666666667,0.1875,en,4,-1,,,,,
Northeast,Northeast,LOC,-0.11363636363636365,0.4441287878787879,en,4,-1,,,,,
Fla.,Fla.,GPE,0.171875,0.28437500000000004,en,4,-1,,,,,
Attica,Attica,GPE,-0.03333333333333333,0.4666666666666666,en,3,-1,,,,,
Massachusetts,Massachusetts,GPE,0.041666666666666664,0.3333333333333333,en,3,-1,,,,,
Seneca,Seneca,GPE,0.101010101010101,0.3515151515151515,en,3,-1,,,,,
BAGHDAD,BAGHDAD,GPE,0.06666666666666667,0.4666666666666666,en,3,-1,,,,,
Türkiye,Türkiye,GPE,-0.022222222222222223,0.14444444444444446,en,3,-1,,,,,
Turkey,Turkey,GPE,0.0,0.0,en,3,-1,,,,,
the Middle East's,the Middle East's,LOC,0.06666666666666667,0.4666666666666666,en,3,-1,,,,,
Ukraine,Ukraine,GPE,0.022222222222222223,0.1111111111111111,en,3,-1,,,,,
San Francisco,San Francisco,GPE,-0.2222222222222222,0.39444444444444443,en,3,-1,,,,,
Kashmir,Kashmir,LOC,0.0,0.225,en,3,-1,,,,,
Colorado River,Colorado River,LOC,-0.041666666666666664,0.25,en,3,-1,,,,,
the United Kingdom,the United Kingdom,GPE,-0.13541666666666666,0.5125000000000001,en,3,-1,,,,,
Dublin,Dublin,GPE,0.03571428571428571,0.5293650793650794,en,3,-1,,,,,
Seoul,Seoul,GPE,0.2984848484848485,0.3671717171717172,en,3,-1,,,,,
Jragung Dam,Jragung Dam,GPE,0.0,0.16666666666666666,en,3,-1,,,,,
North America,North America,LOC,0.03571428571428571,0.44047619047619047,en,3,-1,,,,,
Sacramento County,Sacramento County,GPE,-0.09833333333333334,0.17055555555555557,en,3,-1,,,,,
Ladakh,Ladakh,GPE,0.1523809523809524,0.2904761904761905,en,3,-1,,,,,
CBD,CBD,GPE,0.19147727272727275,0.6090909090909091,en,3,-1,,,,,
Jordan,Jordan,GPE,0.19225757575757574,0.5629696969696969,en,3,-1,,,,,
Chicago,Chicago,GPE,-0.014646464646464649,0.16969696969696968,en,3,-1,,,,,
New Jersey,New Jersey,GPE,0.14309764309764308,0.4794612794612794,en,3,-1,,,,,
Calif.,Calif.,GPE,0.017857142857142856,0.09523809523809523,en,3,-1,,,,,
Mars,Mars,LOC,0.13804713804713806,0.3441077441077441,en,3,-1,,,,,
Nev.,Nev.,GPE,0.025,0.1,en,2,-1,,,,,
A.L.,A.L.,GPE,0.0,0.15,en,2,-1,,,,,
The United Kingdom,The United Kingdom,GPE,0.12727272727272726,0.4409090909090909,en,2,-1,,,,,
Lantang Valley,Lantang Valley,LOC,0.0,0.0,en,2,-1,,,,,
Cayman Islands,Cayman Islands,GPE,0.16,0.24,en,2,-1,,,,,
South Korea,South Korea,GPE,0.07272727272727272,0.17575757575757578,en,2,-1,,,,,
Pontian,Pontian,GPE,-0.07562500000000001,0.319375,en,2,-1,,,,,
New South Wales,New South Wales,GPE,0.04848484848484848,0.25606060606060604,en,2,-1,,,,,
Mass.,Mass.,GPE,0.0,0.0,en,2,-1,,,,,
England,England,GPE,0.24107142857142858,0.6071428571428572,en,2,-1,,,,,
Lancaster city,Lancaster city,GPE,0.06818181818181818,0.22727272727272727,en,2,-1,,,,,
Mediterranean,Mediterranean,LOC,0.45,0.65,en,2,-1,,,,,
Las Vegas,Las Vegas,GPE,-0.08,0.3366666666666667,en,2,-1,,,,,
Los Gatos,Los Gatos,GPE,0.0,0.0,en,2,-1,,,,,
Mauritius,Mauritius,GPE,0.09375,0.32187499999999997,en,2,-1,,,,,
Kansas,Kansas,GPE,0.06818181818181818,0.22727272727272727,en,2,-1,,,,,
Kamloops,Kamloops,GPE,0.275,0.475,en,2,-1,,,,,
Zanzibar,Zanzibar,GPE,0.0,0.0,en,2,-1,,,,,
Louisville,Louisville,GPE,-0.06666666666666667,0.20000000000000004,en,2,-1,,,,,
Semarang District,Semarang District,GPE,0.0,0.25,en,2,-1,,,,,
Doctolib,Doctolib,GPE,0.14285714285714285,0.26785714285714285,en,2,-1,,,,,
Greece,Greece,GPE,0.06818181818181818,0.5092171717171717,en,2,-1,,,,,
Operation Cloudburst,Operation Cloudburst,LOC,0.5000000000000001,0.85,en,2,-1,,,,,
JAMAICA,JAMAICA,GPE,0.0,0.0,en,2,-1,,,,,
TEHRAN,TEHRAN,GPE,0.15,0.6416666666666667,en,2,-1,,,,,
Watts Water,Watts Water,LOC,0.0,0.0,en,2,-1,,,,,
Central Java,Central Java,GPE,0.0,0.25,en,2,-1,,,,,
Ganderbal,Ganderbal,GPE,0.0,0.2125,en,2,-1,,,,,
Kerala,Kerala,GPE,0.22499999999999998,0.2,en,2,-1,,,,,
Qonto,Qonto,GPE,0.14285714285714285,0.26785714285714285,en,2,-1,,,,,
Jammu North,Jammu North,GPE,-0.06964285714285715,0.5047619047619047,en,2,-1,,,,,
JAMMU,JAMMU,GPE,0.0,0.2125,en,2,-1,,,,,
crisi,crisi,GPE,-0.08560606060606062,0.44242424242424244,en,2,-1,,,,,
the Space Coast,the Space Coast,LOC,0.06818181818181818,0.2772727272727273,en,2,-1,,,,,
Amherst,Amherst,GPE,0.08333333333333333,0.6388888888888888,en,2,-1,,,,,
Lokal,Lokal,GPE,0.0,0.0,en,2,-1,,,,,
Hollywood,Hollywood,GPE,0.03838636363636364,0.5944545454545455,en,2,-1,,,,,
Fargo,Fargo,GPE,0.25,0.8500000000000001,en,2,-1,,,,,
North Dakota,North Dakota,GPE,0.25,0.8500000000000001,en,2,-1,,,,,
Western Australia,Western Australia,LOC,0.04848484848484848,0.25606060606060604,en,2,-1,,,,,
South Africa’s,South Africa’s,GPE,0.06818181818181818,0.4314393939393939,en,2,-1,,,,,
the East Coast,the East Coast,LOC,0.13636363636363635,0.45454545454545453,en,2,-1,,,,,
Sacramento,Sacramento,GPE,-0.35,0.35,en,2,-1,,,,,
Maritimes,Maritimes,GPE,0.25104166666666666,0.5843750000000001,en,2,-1,,,,,
