,phrase,label,sentiment,subjectivity,language,count
…,…,MISC,,,de,11
"Some of the information stored on your device,","Some of the information stored on your device,",MISC,,,de,5
Millionen,Millionen,MISC,,,de,3
Pandemie,Pandemie,MISC,,,de,3
"When browsing with ads:
","When browsing with ads:
",MISC,,,de,3
"Gas, Strom, Holz, Öl","Gas, Strom, Holz, Öl",MISC,,,de,2
Ampel-Koalition,Ampel-Koalition,MISC,,,de,2
Berliner,Berliner,MISC,,,de,2
brasilianischen,brasilianischen,MISC,,,de,2
"nan When browsing with ads:
","nan When browsing with ads:
",MISC,,,de,2
Krieg in der Ukraine,Krieg in der Ukraine,MISC,,,de,2
Hartz-IV-Ausgaben,Hartz-IV-Ausgaben,MISC,,,de,2
The Weather Channel,The Weather Channel,MISC,,,de,2
Zeit,Zeit,MISC,,,de,2
Auftrag der E-Control.,Auftrag der E-Control.,MISC,,,de,1
Friedhofbesucher…,Friedhofbesucher…,MISC,,,de,1
Pandemie der Einsamkeit [premium].,Pandemie der Einsamkeit [premium].,MISC,,,de,1
"Hi, ich heiße Matthew","Hi, ich heiße Matthew",MISC,,,de,1
PekOeleeu Oelue,PekOeleeu Oelue,MISC,,,de,1
PekOeleeu,PekOeleeu,MISC,,,de,1
Hartz-IV-Haushalten,Hartz-IV-Haushalten,MISC,,,de,1
Die Kosten fürs Heizen,Die Kosten fürs Heizen,MISC,,,de,1
Smarte Heizkörperthermostat…,Smarte Heizkörperthermostat…,MISC,,,de,1
WELT-Reporter,WELT-Reporter,MISC,,,de,1
ePaper,ePaper,MISC,,,de,1
Android App,Android App,MISC,,,de,1
Die Temperaturen,Die Temperaturen,MISC,,,de,1
CO₂-Preis.,CO₂-Preis.,MISC,,,de,1
Brasilien: Streit,Brasilien: Streit,MISC,,,de,1
Regen Radar,Regen Radar,MISC,,,de,1
Wetter App,Wetter App,MISC,,,de,1
Pariser Bataclan,Pariser Bataclan,MISC,,,de,1
Wintereinbruch am Wochenende: Das,Wintereinbruch am Wochenende: Das,MISC,,,de,1
sozialer,sozialer,MISC,,,de,1
BAföG,BAföG,MISC,,,de,1
Business,Business,MISC,,,de-DE,1
Offensivfähigkeit,Offensivfähigkeit,MISC,,,de,1
"Die Stunde, die uns glücklich","Die Stunde, die uns glücklich",MISC,,,de,1
Energiepreisexplosion,Energiepreisexplosion,MISC,,,de,1
Hunderte Euro im Jahr,Hunderte Euro im Jahr,MISC,,,de,1
Deutsche über Inflation: „Ich traue mich,Deutsche über Inflation: „Ich traue mich,MISC,,,de,1
Flucht vor Heizkosten,Flucht vor Heizkosten,MISC,,,de,1
Urlaub,Urlaub,MISC,,,de,1
Teuer-Schock,Teuer-Schock,MISC,,,de,1
Energiekrise: Wie Bioenergiedörfer,Energiekrise: Wie Bioenergiedörfer,MISC,,,de,1
Steigen draußen,Steigen draußen,MISC,,,de,1
"Steigen draußen die Temperaturen, laufen","Steigen draußen die Temperaturen, laufen",MISC,,,de,1
FOCUS online…,FOCUS online…,MISC,,,de,1
Heizkosten-Explosion: Selbstexperiment: Wie übersteht man kalte Tage ohne Heizung?,Heizkosten-Explosion: Selbstexperiment: Wie übersteht man kalte Tage ohne Heizung?,MISC,,,de,1
Euro,Euro,MISC,,,de,1
DER STANDARD.,DER STANDARD.,MISC,,,de,1
Marx-Halle,Marx-Halle,MISC,,,de,1
Gaspreisbremse,Gaspreisbremse,MISC,,,de,1
Deutsche,Deutsche,MISC,,,de,1
deutschen,deutschen,MISC,,,de,1
Pandemiejahren 2020,Pandemiejahren 2020,MISC,,,de,1
Homeoffice.,Homeoffice.,MISC,,,de,1
EU-weite Einigung,EU-weite Einigung,MISC,,,de,1
Tages,Tages,MISC,,,de,1
Energiepreise: Wie Deutschlands Nachbarn,Energiepreise: Wie Deutschlands Nachbarn,MISC,,,de,1
fürs Leben,fürs Leben,MISC,,,de,1
Twitter,Twitter,MISC,,,de,1
