,phrase,label,sentiment,subjectivity,language,count,geonames,geotype,latitude,longitude,country,ipcc
2025,2025,DATE,,,en,56,,,,,,
one,one,CARDINAL,,,en,25,,,,,,
first,first,ORDINAL,,,en,20,,,,,,
Nov. 10,Nov. 10,DATE,,,en,14,,,,,,
Monday,Monday,DATE,,,en,14,,,,,,
Iranian,Iranian,NORP,,,en,13,,,,,,
two,two,CARDINAL,,,en,11,,,,,,
year,year,DATE,,,en,10,,,,,,
decades,decades,DATE,,,en,10,,,,,,
this week,this week,DATE,,,en,9,,,,,,
years,years,DATE,,,en,9,,,,,,
three,three,CARDINAL,,,en,9,,,,,,
just months,just months,DATE,,,en,8,,,,,,
Sunday,Sunday,DATE,,,en,8,,,,,,
today,today,DATE,,,en,8,,,,,,
weeks,weeks,DATE,,,en,8,,,,,,
at least 20,at least 20,CARDINAL,,,en,7,,,,,,
Nov. 12,Nov. 12,DATE,,,en,7,,,,,,
four,four,CARDINAL,,,en,7,,,,,,
2024,2024,DATE,,,en,7,,,,,,
countrys,countrys,NORP,,,en,6,,,,,,
winter,winter,DATE,,,en,6,,,,,,
5,5,MONEY,,,en,6,,,,,,
Friday,Friday,DATE,,,en,5,,,,,,
Thursday,Thursday,DATE,,,en,5,,,,,,
annual,annual,DATE,,,en,5,,,,,,
Saturday,Saturday,DATE,,,en,5,,,,,,
autumn,autumn,DATE,,,en,5,,,,,,
11,11,CARDINAL,,,en,5,,,,,,
Americans,Americans,NORP,,,en,5,,,,,,
31,31,CARDINAL,,,en,5,,,,,,
2034,2034,DATE,,,en,5,,,,,,
the year,the year,DATE,,,en,5,,,,,,
Today,Today,DATE,,,en,5,,,,,,
Halloween,Halloween,DATE,,,en,5,,,,,,
20,20,CARDINAL,,,en,5,,,,,,
Tuesday,Tuesday,DATE,,,en,5,,,,,,
7,7,CARDINAL,,,en,5,,,,,,
second,second,ORDINAL,,,en,5,,,,,,
North American,North American,NORP,,,en,4,,,,,,
Hurricane Melissa,Hurricane Melissa,EVENT,,,en,4,,,,,,
June,June,DATE,,,en,4,,,,,,
African,African,NORP,,,en,4,,,,,,
October 2025,October 2025,DATE,,,en,4,,,,,,
this year,this year,DATE,,,en,4,,,,,,
Russian,Russian,NORP,,,en,4,,,,,,
2,2,CARDINAL,,,en,4,,,,,,
10,10,DATE,,,en,4,,,,,,
third-quarter,third-quarter,DATE,,,en,4,,,,,,
2033,2033,DATE,,,en,4,,,,,,
First,First,ORDINAL,,,en,4,,,,,,
CY2025,CY2025,PRODUCT,,,en,4,,,,,,
2000,2000,DATE,,,en,4,,,,,,
Thanksgiving,Thanksgiving,DATE,,,en,4,,,,,,
just 3%,just 3%,PERCENT,,,en,4,,,,,,
five,five,CARDINAL,,,en,3,,,,,,
Spider,Spider,PRODUCT,,,en,3,,,,,,
the same month,the same month,DATE,,,en,3,,,,,,
the Maximos Mansion,the Maximos Mansion,FAC,,,en,3,,,,,,
two months,two months,DATE,,,en,3,,,,,,
6.3,6.3,CARDINAL,,,en,3,,,,,,
This year,This year,DATE,,,en,3,,,,,,
Korean,Korean,NORP,,,en,3,,,,,,
October,October,DATE,,,en,3,,,,,,
days,days,DATE,,,en,3,,,,,,
Voxtur,Voxtur,WORK_OF_ART,,,en,3,,,,,,
November,November,DATE,,,en,3,,,,,,
1991,1991,DATE,,,en,3,,,,,,
Redmagic 11,Redmagic 11,LAW,,,en,3,,,,,,
overnight,overnight,TIME,,,en,3,,,,,,
hours,hours,TIME,,,en,3,,,,,,
2022,2022,DATE,,,en,3,,,,,,
daily,daily,DATE,,,en,3,,,,,,
Himalayan,Himalayan,NORP,,,en,3,,,,,,
1995,1995,DATE,,,en,3,,,,,,
One,One,CARDINAL,,,en,3,,,,,,
Ceratitis,Ceratitis,NORP,,,en,3,,,,,,
the Great Barrier Reef,the Great Barrier Reef,EVENT,,,en,3,,,,,,
Democrats,Democrats,NORP,,,en,3,,,,,,
2026,2026,DATE,,,en,3,,,,,,
months,months,DATE,,,en,3,,,,,,
International Day for Disaster Risk Reduction,International Day for Disaster Risk Reduction,EVENT,,,en,3,,,,,,
Oct. 13,Oct. 13,DATE,,,en,3,,,,,,
Dutch,Dutch,NORP,,,en,3,,,,,,
Pistachio Wars,Pistachio Wars,WORK_OF_ART,,,en,3,,,,,,
December 1989,December 1989,DATE,,,en,3,,,,,,
at least 34,at least 34,CARDINAL,,,en,2,,,,,,
this fall,this fall,DATE,,,en,2,,,,,,
the end of the century,the end of the century,DATE,,,en,2,,,,,,
the Special Development Package,the Special Development Package,LAW,,,en,2,,,,,,
summer,summer,DATE,,,en,2,,,,,,
half,half,CARDINAL,,,en,2,,,,,,
31 years,31 years,DATE,,,en,2,,,,,,
1,1,CARDINAL,,,en,2,,,,,,
Mark of the Ninja,Mark of the Ninja,WORK_OF_ART,,,en,2,,,,,,
8,8,CARDINAL,,,en,2,,,,,,
