,phrase,label,sentiment,subjectivity,language,count,geonames,geotype,latitude,longitude,country,ipcc
Trump,Trump,ORG,0.033712121212121214,0.19598484848484848,en,10,,,,,,
Apple,Apple,ORG,0.1345679012345679,0.3472663139329806,en,9,,,,,,
AP,AP,ORG,0.016856060606060607,0.3242424242424242,en,8,,,,,,
Generation Exile,Generation Exile,ORG,0.00040404040404040203,0.33338383838383834,en,6,,,,,,
NYSE,NYSE,ORG,0.13333333333333333,0.09999999999999999,en,6,,,,,,
CAGR,CAGR,ORG,-0.025454545454545452,0.11181818181818182,en,5,,,,,,
Ferrari,Ferrari,ORG,0.0,0.0,en,5,,,,,,
TSXV,TSXV,ORG,0.171875,0.21328125000000003,en,4,,,,,,
VXTR,VXTR,ORG,0.171875,0.21328125000000003,en,4,,,,,,
UN,UN,ORG,-0.037500000000000006,0.0,en,4,,,,,,
the United Nations,the United Nations,ORG,0.01,0.06000000000000001,en,4,,,,,,
USGS,USGS,ORG,-0.1,0.0,en,4,,,,,,
Berkshire Hathaway,Berkshire Hathaway,ORG,0.22361111111111112,0.33611111111111114,en,4,,,,,,
NABARD,NABARD,ORG,0.049999999999999996,0.09999999999999999,en,3,,,,,,
Syngenta,Syngenta,ORG,0.16666666666666666,0.16666666666666666,en,3,,,,,,
Lenovo,Lenovo,ORG,-0.0412037037037037,0.31296296296296294,en,3,,,,,,
NBA,NBA,ORG,0.15574074074074076,0.23703703703703705,en,3,,,,,,
Fe,Fe,ORG,0.0625,0.3333333333333333,en,3,,,,,,
Google,Google,ORG,-0.10277777777777779,0.4055555555555556,en,3,,,,,,
LoRa Alliance,LoRa Alliance,ORG,0.03571428571428571,0.19047619047619047,en,3,,,,,,
SJV Water,SJV Water,ORG,-0.05555555555555555,0.041666666666666664,en,3,,,,,,
Voxtur Analytics Corp.,Voxtur Analytics Corp.,ORG,0.171875,0.18958333333333335,en,3,,,,,,
BBC,BBC,ORG,-0.13749999999999996,0.35833333333333334,en,3,,,,,,
Absa Bank,Absa Bank,ORG,0.0,0.0,en,3,,,,,,
Eagle,Eagle,ORG,0.016666666666666666,0.06666666666666667,en,3,,,,,,
the US Geological Survey,the US Geological Survey,ORG,-0.13333333333333333,0.0,en,3,,,,,,
Samsung,Samsung,ORG,0.43333333333333335,0.35833333333333334,en,3,,,,,,
NEA,NEA,ORG,0.011111111111111112,0.10555555555555556,en,3,,,,,,
WMS,WMS,ORG,0.26666666666666666,0.39999999999999997,en,3,,,,,,
Microsoft,Microsoft,ORG,0.2333333333333333,0.5499999999999999,en,3,,,,,,
PAHO,PAHO,ORG,0.0,0.0,en,3,,,,,,
Sonapur,Sonapur,ORG,-0.1685185185185185,0.29814814814814816,en,3,,,,,,
AFP,AFP,ORG,-0.0625,0.1875,en,2,,,,,,
Va Tech WABAG,Va Tech WABAG,ORG,0.17083333333333334,0.17222222222222225,en,2,,,,,,
Deer Lake Power,Deer Lake Power,ORG,-0.041666666666666664,0.12916666666666665,en,2,,,,,,
AATSU,AATSU,ORG,-0.1527777777777778,0.22222222222222224,en,2,,,,,,
AI,AI,ORG,0.14285714285714285,0.26785714285714285,en,2,,,,,,
Dust,Dust,ORG,0.14285714285714285,0.26785714285714285,en,2,,,,,,
Secret,Secret,ORG,0.16666666666666666,0.26666666666666666,en,2,,,,,,
Nat,Nat,ORG,0.0,0.0,en,2,,,,,,
Blue Seed,Blue Seed,ORG,0.17083333333333334,0.17222222222222225,en,2,,,,,,
The Nepal Electricity Authority,The Nepal Electricity Authority,ORG,0.016666666666666666,0.07916666666666666,en,2,,,,,,
WABAG,WABAG,ORG,0.10833333333333334,0.0,en,2,,,,,,
Nimble Vision,Nimble Vision,ORG,0.10833333333333334,0.0,en,2,,,,,,
Bengaluru,Bengaluru,ORG,0.10833333333333334,0.0,en,2,,,,,,
OnePlus,OnePlus,ORG,0.06818181818181818,0.0,en,2,,,,,,
Lo-TEK,Lo-TEK,ORG,0.13636363636363635,0.22727272727272727,en,2,,,,,,
Pan American Health,Pan American Health,ORG,0.0,0.0,en,2,,,,,,
