,phrase,label,sentiment,subjectivity,language,count,geonames,geotype,latitude,longitude,country,ipcc
Masoud Pezeshkian,Masoud Pezeshkian,PERSON,-0.2125,0.5020833333333333,en,4,,,,,,
Warren Buffett,Warren Buffett,PERSON,0.22361111111111112,0.41388888888888886,en,4,,,,,,
Ashok Singhal,Ashok Singhal,PERSON,-0.12185185185185186,0.35814814814814816,en,3,,,,,,
Michael Chernow,Michael Chernow,PERSON,0.42094017094017094,0.39978632478632475,en,3,,,,,,
Stéphanie Guillaume,Stéphanie Guillaume,PERSON,0.1818181818181818,0.28383838383838383,en,3,,,,,,
Gibran Rakabuming Raka,Gibran Rakabuming Raka,PERSON,0.0,0.25,en,2,,,,,,
Julia Watson,Julia Watson,PERSON,0.13636363636363635,0.45454545454545453,en,2,,,,,,
GEORGE TOWN,GEORGE TOWN,PERSON,0.16,0.24,en,2,,,,,,
Kavinder Gupta,Kavinder Gupta,PERSON,0.2285714285714286,0.4357142857142857,en,2,,,,,,
Lal Sharma,Lal Sharma,PERSON,-0.03928571428571429,0.3595238095238095,en,2,,,,,,
Sanjeev Kapoor,Sanjeev Kapoor,PERSON,0.125,0.16666666666666666,en,2,,,,,,
Jay Yoon,Jay Yoon,PERSON,0.375,0.375,en,2,,,,,,
Alyssa Battistoni,Alyssa Battistoni,PERSON,-0.05555555555555555,0.3277777777777778,en,2,,,,,,
Bill Gates,Bill Gates,PERSON,-0.04924242424242424,0.33030303030303027,en,2,,,,,,
Banarsi LalEcosystem,Banarsi LalEcosystem,PERSON,0.20833333333333334,0.5833333333333333,en,2,,,,,,
Massoud Pezeshkian,Massoud Pezeshkian,PERSON,0.125,0.7666666666666666,en,2,,,,,,
Ann Arbor,Ann Arbor,PERSON,0.125,0.7666666666666666,en,2,,,,,,
Donald Trump,Donald Trump,PERSON,-0.25,0.25,en,2,,,,,,
Lee Jung-eun,Lee Jung-eun,PERSON,0.125,0.6875,en,2,,,,,,
Brandon Zick,Brandon Zick,PERSON,0.0,0.0,en,2,,,,,,
PARSHANT BAKSHIDragon,PARSHANT BAKSHIDragon,PERSON,0.275,0.275,en,2,,,,,,
Banarsi LalAgricultural,Banarsi LalAgricultural,PERSON,0.08333333333333333,0.9166666666666667,en,2,,,,,,
JOHOR BARU,JOHOR BARU,PERSON,-0.07562500000000001,0.319375,en,2,,,,,,
Realme 15,Realme 15,PERSON,-0.1059090909090909,0.3833333333333333,en,2,,,,,,
ETH Zurich,ETH Zurich,PERSON,0.13636363636363635,0.45454545454545453,en,2,,,,,,
Nels Anderson,Nels Anderson,PERSON,0.07454545454545454,0.4318181818181818,en,2,,,,,,
Jitendra Singh,Jitendra Singh,PERSON,0.09375,0.32187499999999997,en,2,,,,,,
Peter Thiel,Peter Thiel,PERSON,0.0,0.0,en,2,,,,,,
Omar Abdullah,Omar Abdullah,PERSON,0.0,0.2125,en,2,,,,,,
Zubeen Garg,Zubeen Garg,PERSON,-0.06000000000000001,0.18,en,2,,,,,,
Fatin Azrin,Fatin Azrin,PERSON,-0.07562500000000001,0.319375,en,2,,,,,,
Yi Yao,Yi Yao,PERSON,0.13636363636363635,0.45454545454545453,en,2,,,,,,
Tim Cook,Tim Cook,PERSON,0.0,0.4535714285714286,en,2,,,,,,
Zac Builds,Zac Builds,PERSON,-0.025,0.25,en,2,,,,,,
Sanam Mahoozi,Sanam Mahoozi,PERSON,0.0,0.03125,en,2,,,,,,
Jeremy Friesen,Jeremy Friesen,PERSON,-0.016666666666666666,0.16666666666666666,en,2,,,,,,
OnePlus 15,OnePlus 15,PERSON,0.0,0.0,en,1,,,,,,
