,Freizeit,Emotion,Wohnen,Klima,Soziales,Infrastruktur
2022-01-20,0,0,1,0,0,0
2022-01-28,0,0,1,0,0,0
2022-02-03,0,0,1,0,0,0
2022-03-12,0,0,1,0,0,0
2022-04-04,0,0,1,0,0,0
2022-05-09,0,0,1,0,0,0
2022-05-10,0,0,1,0,0,0
2022-05-29,0,0,1,0,0,0
2022-06-07,0,0,1,0,0,0
2022-07-31,0,0,1,0,0,0
2022-09-07,0,0,1,0,0,0
2022-09-20,0,0,3,0,0,0
2022-09-21,0,0,1,0,0,0
2022-09-23,0,0,1,0,0,0
2022-09-25,0,0,1,0,0,0
2022-09-27,0,0,1,0,0,0
2022-09-28,0,0,0,0,0,0
2022-09-30,0,0,1,0,0,0
2022-10-01,0,0,1,0,0,0
2022-10-03,0,0,1,0,0,0
2022-10-04,0,0,2,0,0,0
2022-10-05,0,0,2,0,0,0
2022-10-06,0,0,1,0,0,0
2022-10-10,0,0,2,0,0,0
2022-10-12,0,0,3,1,0,0
2022-10-13,0,0,1,0,0,0
2022-10-15,0,0,1,0,0,0
2022-10-18,0,0,1,0,0,0
2022-10-19,0,0,2,0,0,0
2022-10-20,0,0,1,0,0,0
2022-10-21,1,0,6,0,0,0
2022-10-23,1,0,0,0,0,0
2022-10-24,1,1,2,0,0,0
2022-10-25,0,0,9,0,0,0
2022-10-26,0,2,9,0,0,0
2022-10-27,1,3,2,0,0,0
2022-10-28,1,7,3,0,0,0
2022-10-29,1,6,1,1,1,0
2022-10-30,4,1,2,0,0,0
2022-10-31,5,0,2,0,0,0
2022-11-01,1,0,4,0,0,0
2022-11-02,4,1,0,0,1,0
2022-11-03,4,0,3,2,0,0
2022-11-04,5,0,2,0,1,1
2022-11-05,2,1,3,2,0,0
2022-11-06,1,0,2,0,0,0
2022-11-07,4,0,4,0,0,0
2022-11-08,3,0,0,1,0,0
2022-11-09,3,2,2,1,0,0
2022-11-10,3,0,6,1,0,0
2022-11-11,1,1,4,0,1,0
2022-11-12,3,0,0,0,1,0
2022-11-14,9,2,6,0,0,0
2022-11-15,5,1,3,2,0,0
2022-11-16,0,0,4,1,0,0
2022-11-17,4,0,1,5,0,0
2022-11-18,1,0,0,8,1,0
2022-11-19,4,1,0,6,0,0
2022-11-20,4,1,2,10,0,0
2022-11-21,27,0,4,8,1,0
2022-11-22,10,0,1,4,0,0
2022-11-23,9,0,1,3,1,0
2022-11-24,1,0,2,3,0,0
2022-11-25,11,0,2,4,0,0
2022-11-26,8,2,2,1,0,0
2022-11-27,6,0,1,2,0,0
2022-11-28,10,0,4,0,1,0
2022-11-29,12,0,1,0,1,0
2022-11-30,4,1,1,1,1,0
2022-12-01,5,0,2,1,0,0
2022-12-02,6,2,5,5,0,0
2022-12-03,9,2,2,1,0,0
2022-12-04,6,0,0,1,0,0
2022-12-05,7,2,4,0,0,0
2022-12-06,2,1,1,2,2,0
2022-12-07,1,0,0,0,0,0
2022-12-08,5,2,2,1,0,0
2022-12-09,5,2,1,1,1,1
2022-12-10,6,3,1,8,0,0
2022-12-11,9,0,3,2,0,0
2022-12-12,5,2,2,9,0,0
2022-12-13,4,0,3,2,1,0
2022-12-14,4,1,3,24,1,0
2022-12-15,3,1,8,12,1,0
2022-12-16,7,2,0,4,1,0
2022-12-17,7,0,0,3,1,0
2022-12-18,4,1,0,12,0,0
2022-12-19,21,1,1,80,0,0
2022-12-20,4,4,0,17,0,0
2022-12-21,2,5,2,4,0,0
2022-12-22,7,2,1,1,0,0
2022-12-23,9,4,2,5,0,0
2022-12-24,1,10,1,0,1,0
2022-12-25,2,2,5,1,0,0
2022-12-26,0,8,0,1,0,0
2022-12-27,3,1,7,2,0,0
2022-12-28,4,2,0,2,0,0
2022-12-29,10,0,0,0,0,0
2022-12-30,3,1,1,0,0,0
2023-01-01,1,2,0,0,0,0
2023-01-02,8,2,3,0,1,0
2023-01-03,4,2,2,0,0,1
2023-01-04,9,0,1,0,0,0
2023-01-05,5,3,1,0,1,0
2023-01-06,11,1,0,1,0,0
2023-01-07,7,0,0,0,1,0
2023-01-08,5,0,0,1,0,0
2023-01-09,7,1,0,0,1,0
2023-01-10,6,1,1,0,0,0
2023-01-11,1,0,0,2,0,0
2023-01-12,1,2,1,0,1,0
2023-01-13,8,3,2,2,0,0
2023-01-14,4,2,4,0,2,0
2023-01-15,7,0,0,5,0,0
2023-01-16,4,2,1,0,0,0
2023-01-17,12,0,2,0,1,0
2023-01-18,1,2,0,1,1,0
2023-01-19,8,2,1,5,0,0
2023-01-20,9,1,0,8,0,0
2023-01-21,8,0,0,10,0,0
2023-01-22,9,2,0,13,0,0
2023-01-23,3,0,0,1,0,0
2023-01-24,5,1,3,1,0,0
2023-01-25,0,1,3,3,1,0
2023-01-26,1,3,0,4,0,0
2023-01-27,2,0,0,3,0,0
2023-01-28,4,1,0,0,0,0
2023-01-29,3,0,0,0,1,0
2023-01-30,1,1,0,2,1,0
2023-01-31,4,1,2,0,0,0
2023-02-01,8,1,2,0,0,0
2023-02-02,10,0,3,2,1,0
2023-02-03,3,0,3,1,0,0
2023-02-04,7,0,1,2,0,0
2023-02-05,11,0,2,1,0,0
2023-02-06,6,0,0,1,1,0
2023-02-07,3,0,5,1,0,0
2023-02-08,13,0,1,0,1,0
2023-02-09,4,0,0,1,0,1
2023-02-10,1,1,2,0,0,0
2023-02-11,6,0,0,1,0,0
2023-02-12,10,0,0,0,0,0
2023-02-13,5,1,1,0,0,0
2023-02-14,3,0,1,0,0,0
2023-02-15,8,0,1,0,0,0
2023-02-16,3,0,0,0,0,0
2023-02-17,9,0,1,0,0,0
2023-02-18,5,0,0,0,0,0
2023-02-19,10,3,0,1,1,0
2023-02-20,1,4,1,3,0,1
2023-02-21,1,0,3,2,0,0
2023-02-22,4,2,0,1,1,0
2023-02-23,0,1,3,0,0,0
2023-02-24,2,0,0,3,0,0
2023-02-25,5,2,0,1,0,0
2023-02-26,2,1,0,5,0,0
2023-02-27,4,5,2,1,0,0
2023-02-28,2,5,3,5,0,0
2023-03-01,3,5,0,4,3,0
2023-03-02,3,5,1,0,1,0
2023-03-03,1,3,2,0,0,0
2023-03-04,2,4,1,0,0,0
2023-03-06,2,2,1,2,0,0
2023-03-07,0,2,0,1,0,0
2023-03-08,3,8,1,17,1,0
2023-03-09,3,1,6,1,0,0
2023-03-10,1,0,2,5,1,0
2023-03-11,2,1,0,6,0,0
2023-03-12,2,1,0,2,0,0
2023-03-13,1,2,0,1,0,0
2023-03-14,3,1,0,1,0,0
2023-03-15,3,0,1,1,1,0
2023-03-16,1,0,0,0,0,0
2023-03-17,2,2,1,0,0,0
2023-03-18,3,0,0,0,0,0
2023-03-19,5,1,0,0,0,0
2023-03-20,0,2,3,0,0,1
2023-03-21,1,4,3,0,0,0
2023-03-22,2,5,1,1,0,0
2023-03-23,0,9,2,0,0,0
2023-03-24,0,11,1,2,0,0
2023-03-25,1,27,1,0,0,0
2023-03-26,0,18,0,1,0,0
2023-03-27,0,7,1,1,0,1
2023-03-28,1,2,1,6,0,0
2023-03-29,1,0,0,1,1,0
2023-03-30,2,1,1,1,0,0
2023-03-31,3,2,1,0,0,0
2023-04-01,0,1,1,0,0,0
2023-04-03,1,0,1,0,0,0
2023-04-04,3,2,1,0,0,0
2023-04-05,0,1,2,0,0,0
2023-04-06,2,0,0,0,2,0
2023-04-07,0,1,2,0,0,0
2023-04-08,0,0,1,0,0,0
2023-04-09,1,1,0,0,0,0
2023-04-10,4,1,0,0,1,0
2023-04-11,0,0,1,1,0,0
2023-04-12,1,2,0,1,0,0
2023-04-13,0,2,1,1,0,0
2023-04-15,0,1,0,0,0,0
2023-04-16,0,0,1,0,0,0
2023-04-17,0,2,3,0,0,0
2023-04-18,0,0,2,2,0,0
2023-04-19,0,1,1,0,0,0
2023-04-20,0,1,1,0,0,0
2023-04-21,1,0,3,0,1,0
