,summary,Freizeit,Klima,Emotion,Wohnen,Soziales,Infrastruktur,word
summaryOfAllWords,42522.117169403646,13829.46398231696,8110.801132736875,5440.301610321123,11250.986160546709,2303.068183030688,1587.4961004498944,
Energie-Preise,2.7012323950339394,-0.3143225508865663,-0.2086884427565481,-0.15029660713959994,0.43574773134088235,-0.042115924698494386,-0.020680150093142526,Energie-Preise
Auch,6.904803795844453,-0.29196135210091706,-1.1471977029424567,-0.03739839177695162,0.7109502346517124,-0.9806251848844029,-0.959189410279051,Auch
energie-preis auch,2.8574114917600952,-0.3705305816042673,-0.2648964734742493,-0.2065046378573011,0.5117362456682812,-0.09832395541619544,-0.07688818081084364,energie-preis auch
Azubis,2.9434008326141123,-0.4001800980321385,-0.29454598990212044,-0.2361541542851723,0.548042245019789,-0.12797347184406677,-0.10653769723871484,Azubis
auch azubi,2.9434008326141123,-0.4001800980321385,-0.29454598990212044,-0.2361541542851723,0.548042245019789,-0.12797347184406677,-0.10653769723871484,auch azubi
sollen,6.146174059837454,0.1962201523422629,-0.5263880220788555,-0.09644740635352934,0.24044594489346213,-0.8642375973612002,-0.8428018227558484,sollen
azubi soll,3.147186472039451,-0.46712330964131726,-0.36148920151129904,-0.3030973658943509,0.6219598517246029,-0.1949166834532454,-0.17348090884789333,azubi soll
Heizkostenzuschuss,7.668778406628221,-1.3577717730853816,-1.2521376649553633,-1.193745829338415,1.0961968193090332,-1.0855651468973095,-1.0641293722919576,Heizkostenzuschuss
soll heizkostenzuschus,3.734447483133125,-0.63821431750212,-0.5325802093721018,-0.47418837375515377,0.7719617707137925,-0.36600769131404814,-0.34457191670869614,soll heizkostenzuschus
erhalten,3.6715152528828447,-0.6212188917111408,-0.5155847835811226,-0.4571929479641744,0.7590839052744547,-0.349012265523069,-0.3275764909177169,erhalten
heizkostenzuschus erhalt,2.8574114917600952,-0.3705305816042673,-0.2648964734742493,-0.2065046378573011,0.5117362456682812,-0.09832395541619544,-0.07688818081084364,heizkostenzuschus erhalt
Business,2.7383304315724377,-0.3279628425485205,-0.22232873441850232,-0.16393689880155424,0.45512769611047643,-0.05575621636044854,-0.034320441755096534,Business
erhalt business,2.7383304315724377,-0.3279628425485205,-0.22232873441850232,-0.16393689880155424,0.45512769611047643,-0.05575621636044854,-0.034320441755096534,erhalt business
